city,city_ascii,lat,lng,country,«·≈”„,iso2,iso3,admin_name,capital,population,id
Chorfa,Chorfa,36.3617,4.3307,Algeria,«·Ã“«∆—,DZ,DZA,Bouira,,16173,1012035343
Constantine,Constantine,36.365,6.6147,Algeria,«·Ã“«∆—,DZ,DZA,Constantine,admin,448374,1012275076
Dellys,Dellys,36.9167,3.8833,Algeria,«·Ã“«∆—,DZ,DZA,Boumerdes,,32954,1012717910
Didouche Mourad,Didouche Mourad,36.4484,6.6339,Algeria,«·Ã“«∆—,DZ,DZA,Constantine,,33266,1012151355
Djanet,Djanet,24.555,9.4853,Algeria,«·Ã“«∆—,DZ,DZA,Illizi,admin,14655,1012827195
Djelfa,Djelfa,34.6667,3.25,Algeria,«·Ã“«∆—,DZ,DZA,Djelfa,admin,265833,1012268984
Djinet,Djinet,36.877,3.7231,Algeria,«·Ã“«∆—,DZ,DZA,Boumerdes,,21966,1012989318
Draa Ben Khedda,Draa Ben Khedda,36.7349,3.9556,Algeria,«·Ã“«∆—,DZ,DZA,Boumerdes,,31382,1012011041
Draa el Mizan,Draa el Mizan,36.5333,3.8333,Algeria,«·Ã“«∆—,DZ,DZA,Bouira,,38886,1012563094
El Adjiba,El Adjiba,36.3333,4.15,Algeria,«·Ã“«∆—,DZ,DZA,Bouira,,12486,1012383350
El Bayadh,El Bayadh,33.6831,1.0192,Algeria,«·Ã“«∆—,DZ,DZA,El Bayadh,admin,85577,1012906892
El Eulma,El Eulma,36.1528,5.69,Algeria,«·Ã“«∆—,DZ,DZA,SÈtif,,155038,1012292620
El Golea,El Golea,30.6,2.9,Algeria,«·Ã“«∆—,DZ,DZA,GhardaÔa,admin,40195,1012834851
El MaÔn,El Main,36.3667,4.75,Algeria,«·Ã“«∆—,DZ,DZA,BejaÔa,,6238,1012706441
El MeghaÔer,El Meghaier,33.9506,5.9242,Algeria,«·Ã“«∆—,DZ,DZA,El Oued,admin,,1012153214
El Milia,El Milia,36.75,6.2667,Algeria,«·Ã“«∆—,DZ,DZA,Jijel,,83931,1012706826
El Oued,El Oued,33.3683,6.8675,Algeria,«·Ã“«∆—,DZ,DZA,El Oued,admin,134699,1012148937
El Tarf,El Tarf,36.7669,8.3136,Algeria,«·Ã“«∆—,DZ,DZA,El Tarf,admin,25594,1012205687
Es Senia,Es Senia,35.6478,-0.6239,Algeria,«·Ã“«∆—,DZ,DZA,Oran,,96928,1012779789
Freha,Freha,36.762,4.3163,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,24228,1012372550
GhardaÔa,Ghardaia,32.4833,3.6667,Algeria,«·Ã“«∆—,DZ,DZA,GhardaÔa,admin,120000,1012074690
Guelma,Guelma,36.4619,7.4258,Algeria,«·Ã“«∆—,DZ,DZA,Guelma,admin,120004,1012266321
Hassi Messaoud,Hassi Messaoud,31.7,6.0667,Algeria,«·Ã“«∆—,DZ,DZA,Ouargla,,45147,1012339655
Iferhounene,Iferhounene,36.5338,4.3701,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,12460,1012745524
Ifigha,Ifigha,36.6667,4.4167,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,9160,1012938624
Iflissen,Iflissen,36.8636,4.2203,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,14311,1012326451
Illizi,Illizi,26.508,8.4829,Algeria,«·Ã“«∆—,DZ,DZA,Illizi,admin,17252,1012499058
In Guezzam,In Guezzam,19.5686,5.7722,Algeria,«·Ã“«∆—,DZ,DZA,Tamanrasset,admin,7045,1012000031
I-n-Amenas,I-n-Amenas,28.05,9.55,Algeria,«·Ã“«∆—,DZ,DZA,Illizi,,9225,1012221429
I-n-Amguel,I-n-Amguel,23.6936,5.1647,Algeria,«·Ã“«∆—,DZ,DZA,Tamanrasset,,3030,1012162135
I-n-Salah,I-n-Salah,27.1936,2.4606,Algeria,«·Ã“«∆—,DZ,DZA,Tamanrasset,admin,32518,1012201146
Jijel,Jijel,36.8206,5.7667,Algeria,«·Ã“«∆—,DZ,DZA,Jijel,admin,131513,1012782547
Kadiria,Kadiria,36.5333,3.6833,Algeria,«·Ã“«∆—,DZ,DZA,Bouira,,22327,1012278992
Khenchela,Khenchela,35.4167,7.1333,Algeria,«·Ã“«∆—,DZ,DZA,Khenchela,admin,108580,1012495148
Laghouat,Laghouat,33.8,2.865,Algeria,«·Ã“«∆—,DZ,DZA,Laghouat,admin,134372,1012233848
Lakhdaria,Lakhdaria,36.6167,3.5833,Algeria,«·Ã“«∆—,DZ,DZA,Bouira,,59746,1012284313
LíArbaa NaÔt Irathen,L'Arbaa Nait Irathen,36.6367,4.2067,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,29376,1012117061
Makouda,Makouda,36.7909,4.0669,Algeria,«·Ã“«∆—,DZ,DZA,Boumerdes,,23388,1012786926
Mascara,Mascara,35.4,0.1333,Algeria,«·Ã“«∆—,DZ,DZA,Mascara,admin,108587,1012738269
Mecheria,Mecheria,33.55,-0.2833,Algeria,«·Ã“«∆—,DZ,DZA,Naama,,65043,1012958256
Mechtras,Mechtras,36.5448,4.0049,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,12683,1012201497
MÈdÈa,Medea,36.2675,2.75,Algeria,«·Ã“«∆—,DZ,DZA,MÈdÈa,admin,138355,1012758282
Mekla,Mekla,36.6876,4.2681,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,24237,1012384530
Messaad,Messaad,34.1542,3.4969,Algeria,«·Ã“«∆—,DZ,DZA,Djelfa,,102453,1012278908
Mila,Mila,36.4481,6.2622,Algeria,«·Ã“«∆—,DZ,DZA,Mila,admin,,1012656063
Mostaganem,Mostaganem,35.9333,0.0903,Algeria,«·Ã“«∆—,DZ,DZA,Mostaganem,admin,145696,1012061703
Moudjbara,Moudjbara,34.5037,3.4704,Algeria,«·Ã“«∆—,DZ,DZA,Djelfa,,14052,1012667528
MíSila,M'Sila,35.7058,4.5419,Algeria,«·Ã“«∆—,DZ,DZA,Mísila,admin,150000,1012857730
Naama,Naama,33.2678,-0.3111,Algeria,«·Ã“«∆—,DZ,DZA,Naama,admin,16251,1012850542
Naciria,Naciria,36.75,3.8333,Algeria,«·Ã“«∆—,DZ,DZA,Boumerdes,,22431,1012065880
Oran,Oran,35.6969,-0.6331,Algeria,«·Ã“«∆—,DZ,DZA,Oran,admin,852000,1012126319
Ouadhia,Ouadhia,36.55,4.0833,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,15771,1012312650
Ouargla,Ouargla,31.95,5.3167,Algeria,«·Ã“«∆—,DZ,DZA,Ouargla,admin,133024,1012425687
Ouled Djellal,Ouled Djellal,34.4167,5.0667,Algeria,«·Ã“«∆—,DZ,DZA,Biskra,admin,,1012109892
Ouled Moussa,Ouled Moussa,36.6831,3.3681,Algeria,«·Ã“«∆—,DZ,DZA,Boumerdes,,45770,1012623458
Ouled Rached,Ouled Rached,36.2119,4.1106,Algeria,«·Ã“«∆—,DZ,DZA,Bouira,,9311,1012727170
Oum el Bouaghi,Oum el Bouaghi,35.8706,7.115,Algeria,«·Ã“«∆—,DZ,DZA,Oum el Bouaghi,admin,100821,1012958880
Reggane,Reggane,26.7,0.1667,Algeria,«·Ã“«∆—,DZ,DZA,Adrar,,20402,1012709576
Relizane,Relizane,35.7372,0.5558,Algeria,«·Ã“«∆—,DZ,DZA,Relizane,admin,130094,1012939885
SaÔda,Saida,34.8303,0.1517,Algeria,«·Ã“«∆—,DZ,DZA,SaÔda,admin,128413,1012285874
Sali,Sali,26.9833,-0.0333,Algeria,«·Ã“«∆—,DZ,DZA,Adrar,,13138,1012996789
Seddouk Oufella,Seddouk Oufella,36.6061,4.6389,Algeria,«·Ã“«∆—,DZ,DZA,BejaÔa,,8931,1012348181
SÈtif,Setif,36.19,5.41,Algeria,«·Ã“«∆—,DZ,DZA,SÈtif,admin,288461,1012981116
