Ciudad General Escobedo,Ciudad General Escobedo,Ciudad General Escobedo,25.7933,-100.1583,Mexico,MX,MEX,Nuevo Le?n,minor,299364,1484345554
Ciudad Guadalupe Victoria,Ciudad Guadalupe Victoria,Ciudad Guadalupe Victoria,24.4497,-104.1225,Mexico,MX,MEX,Durango,minor,16506,1484654052
Ciudad Guzm?n,Ciudad Guzman,Ciudad Guzman,19.7,-103.4667,Mexico,MX,MEX,Jalisco,minor,97750,1484316056
Ciudad Hidalgo,Ciudad Hidalgo,Ciudad Hidalgo,19.6917,-100.5536,Mexico,MX,MEX,Michoac?n de Ocampo,minor,122619,1484580926
Ciudad Hidalgo,Ciudad Hidalgo,Ciudad Hidalgo,14.6792,-92.1497,Mexico,MX,MEX,Chiapas,minor,14606,1484360693
Ciudad Insurgentes,Ciudad Insurgentes,Ciudad Insurgentes,25.2617,-111.7744,Mexico,MX,MEX,Baja California Sur,,9133,1484354076
Ciudad L?zaro C?rdenas,Ciudad Lazaro Cardenas,Ciudad Lazaro Cardenas,17.9561,-102.1922,Mexico,MX,MEX,Michoac?n de Ocampo,,79200,1484804575
Ciudad Lerdo,Ciudad Lerdo,Ciudad Lerdo,25.55,-103.5167,Mexico,MX,MEX,Durango,minor,79669,1484980436
Ciudad L?pez Mateos,Ciudad Lopez Mateos,Ciudad Lopez Mateos,19.55,-99.2833,Mexico,MX,MEX,México,minor,489937,1484363879
Ciudad Madero,Ciudad Madero,Ciudad Madero,22.25,-97.8333,Mexico,MX,MEX,Tamaulipas,minor,197216,1484185237
Ciudad Mante,Ciudad Mante,Ciudad Mante,22.7333,-98.95,Mexico,MX,MEX,Tamaulipas,minor,84787,1484536173
Ciudad Manuel Doblado,Ciudad Manuel Doblado,Ciudad Manuel Doblado,20.7303,-101.9533,Mexico,MX,MEX,Guanajuato,minor,37145,1484254805
Ciudad Melchor M?zquiz,Ciudad Melchor Muzquiz,Ciudad Melchor Muzquiz,27.8775,-101.5164,Mexico,MX,MEX,Coahuila de Zaragoza,minor,38992,1484736113
Ciudad Miguel Alem?n,Ciudad Miguel Aleman,Ciudad Miguel Aleman,26.4003,-99.0253,Mexico,MX,MEX,Tamaulipas,minor,19998,1484636817
Ciudad Nezahualc?yotl,Ciudad Nezahualcoyotl,Ciudad Nezahualcoyotl,19.41,-99.03,Mexico,MX,MEX,México,,1109363,1484016661
Ciudad Obreg?n,Ciudad Obregon,Ciudad Obregon,27.4939,-109.9389,Mexico,MX,MEX,Sonora,minor,329404,1484887986
Ciudad R?o Bravo,Ciudad Rio Bravo,Ciudad Rio Bravo,25.9861,-98.0889,Mexico,MX,MEX,Tamaulipas,minor,101481,1484549731
Ciudad Sabinas Hidalgo,Ciudad Sabinas Hidalgo,Ciudad Sabinas Hidalgo,26.5,-100.1833,Mexico,MX,MEX,Nuevo Le?n,minor,32047,1484159329
Ciudad Sahagun,Ciudad Sahagun,Ciudad Sahagun,19.7714,-98.5803,Mexico,MX,MEX,Hidalgo,,28609,1484112463
Ciudad Santa Catarina,Ciudad Santa Catarina,Ciudad Santa Catarina,25.6833,-100.45,Mexico,MX,MEX,Nuevo Le?n,minor,306322,1484858068
Ciudad Serd?n,Ciudad Serdan,Ciudad Serdan,18.9833,-97.45,Mexico,MX,MEX,Puebla,minor,46778,1484943496
Ciudad Tula,Ciudad Tula,Ciudad Tula,23,-99.72,Mexico,MX,MEX,Tamaulipas,minor,10043,1484516323
Ciudad Valles,Ciudad Valles,Ciudad Valles,21.9833,-99.0167,Mexico,MX,MEX,San Luis Potos?,minor,177022,1484904610
Ciudad Victoria,Ciudad Victoria,Ciudad Victoria,23.7333,-99.1333,Mexico,MX,MEX,Tamaulipas,admin,305155,1484616519
Coacoatzintla,Coacoatzintla,Coacoatzintla,19.65,-96.9333,Mexico,MX,MEX,Veracruz,minor,10482,1484309288
Coahuitl?n,Coahuitlan,Coahuitlan,20.2667,-97.7167,Mexico,MX,MEX,Veracruz,,8566,1484959001
Coalcom?n de V?zquez Pallares,Coalcoman de Vazquez Pallares,Coalcoman de Vazquez Pallares,18.7833,-103.1667,Mexico,MX,MEX,Michoac?n de Ocampo,minor,18444,1484699271
Coapilla,Coapilla,Coapilla,17.1333,-93.1667,Mexico,MX,MEX,Chiapas,minor,9210,1484804028
Coatepec,Coatepec,Coatepec,19.4553,-96.9586,Mexico,MX,MEX,Veracruz,minor,92127,1484934939
Coatepec Harinas,Coatepec Harinas,Coatepec Harinas,18.9,-99.7167,Mexico,MX,MEX,México,minor,36269,1484641903
Coatzacoalcos,Coatzacoalcos,Coatzacoalcos,18.15,-94.4333,Mexico,MX,MEX,Veracruz,minor,319187,1484016854
Cocorit,Cocorit,Cocorit,27.5833,-109.9667,Mexico,MX,MEX,Sonora,,7424,1484738451
Cocotitl?n,Cocotitlan,Cocotitlan,19.2167,-98.85,Mexico,MX,MEX,México,minor,12142,1484387908
Colima,Colima,Colima,19.2433,-103.7247,Mexico,MX,MEX,Colima,admin,150673,1484585697
Colipa,Colipa,Colipa,19.9167,-96.7,Mexico,MX,MEX,Veracruz,minor,5718,1484745507
Colonia del Sol,Colonia del Sol,Colonia del Sol,22.9125,-109.9208,Mexico,MX,MEX,Baja California Sur,,48032,1484445555
Colonia General Felipe ?ngeles,Colonia General Felipe Angeles,Colonia General Felipe Angeles,23.9167,-104.6,Mexico,MX,MEX,Durango,,20511,1484647102
Comala,Comala,Comala,19.3208,-103.7603,Mexico,MX,MEX,Colima,minor,9442,1484287042
Comapa,Comapa,Comapa,19.1667,-96.8666,Mexico,MX,MEX,Veracruz,minor,19859,1484768761
Comit?n,Comitan,Comitan,16.2511,-92.1342,Mexico,MX,MEX,Chiapas,minor,170000,1484955658
Compostela,Compostela,Compostela,21.2389,-104.9,Mexico,MX,MEX,Nayarit,minor,17573,1484966833
Concepci?n de Buenos Aires,Concepcion de Buenos Aires,Concepcion de Buenos Aires,19.8667,-103.15,Mexico,MX,MEX,Jalisco,minor,6088,1484188633
Concordia,Concordia,Concordia,23.2883,-106.0675,Mexico,MX,MEX,Sinaloa,minor,8328,1484012803
Conkal,Conkal,Conkal,21.0733,-89.5208,Mexico,MX,MEX,Yucat?n,minor,7173,1484022909
Contla,Contla,Contla,19.3333,-98.1667,Mexico,MX,MEX,Tlaxcala,minor,27610,1484059318
Coquimatl?n,Coquimatlan,Coquimatlan,19.2038,-103.8086,Mexico,MX,MEX,Colima,minor,19385,1484193381
C?rdoba,Cordoba,Cordoba,18.8942,-96.9347,Mexico,MX,MEX,Veracruz,minor,218153,1484179679
Coroneo,Coroneo,Coroneo,20.1333,-100.3333,Mexico,MX,MEX,Guanajuato,minor,10347,1484498281
Cortazar,Cortazar,Cortazar,20.483,-100.933,Mexico,MX,MEX,Guanajuato,minor,61658,1484238779
Cosal?,Cosala,Cosala,24.4125,-106.6917,Mexico,MX,MEX,Sinaloa,minor,6577,1484038292
Cosamaloapan,Cosamaloapan,Cosamaloapan,18.3667,-95.8,Mexico,MX,MEX,Veracruz,minor,57147,1484307969
Cosautl?n,Cosautlan,Cosautlan,19.3333,-96.9833,Mexico,MX,MEX,Veracruz,minor,16353,1484430709
Cotija de la Paz,Cotija de la Paz,Cotija de la Paz,19.81,-102.7047,Mexico,MX,MEX,México,minor,19018,1484490839
Coycoyan de las Flores,Coycoyan de las Flores,Coycoyan de las Flores,17.2667,-98.2667,Mexico,MX,MEX,Guerrero,,9936,1484976767
Coyotepec,Coyotepec,Coyotepec,19.7756,-99.2056,Mexico,MX,MEX,Morelos,minor,41810,1484352296
Coyuca de Catal?n,Coyuca de Catalan,Coyuca de Catalan,18.3256,-100.6992,Mexico,MX,MEX,Guerrero,minor,42069,1484460732
Cozumel,Cozumel,Cozumel,20.5104,-86.9493,Mexico,MX,MEX,Quintana Roo,minor,77236,1484935305
Creel,Creel,Creel,27.7522,-107.6347,Mexico,MX,MEX,Chihuahua,,5026,1484888276
Cruz Grande,Cruz Grande,Cruz Grande,16.7333,-99.1333,Mexico,MX,MEX,Guerrero,minor,20175,1484074616
Cuapiaxtla de Madero,Cuapiaxtla de Madero,Cuapiaxtla de Madero,18.9167,-97.8167,Mexico,MX,MEX,Puebla,minor,10101,1484036948
